month,count
2022-01,2712212
2022-02,68866
2022-03,107489
2022-04,60367
2022-05,114734
2022-06,228119
2022-07,113529
2022-08,174187
2022-09,2384391
2022-10,150686
2022-11,834529
2022-12,178388
2023-01,78503
2023-02,3105754
2023-03,191199
2023-04,769058
2023-05,89441
2023-06,10825521
2023-07,29793
2023-08,754248
2023-09,53557
2023-10,881872
2023-11,238214
2023-12,164993
2024-01,58265
2024-02,71764
2024-03,2896406
2024-04,68680
2024-05,1013430
2024-06,43239
2024-07,122475
2024-08,85561
2024-09,1216450
2024-10,115518
2024-11,1231501
2024-12,120751
2025-01,45341
2025-02,72240
2025-03,84390
2025-04,51933
2025-05,16411294
2025-06,54625
2025-07,18607371
2025-08,68142
2025-09,62287
2025-10,100771
2025-11,78609
2025-12,51398
