Code,Beschreibung
o,ohne
ret,Retrokatalogisierung
x011,Allgemeines
x012,Kommunikationswissenschaften
x021,Philosophie
x031,Psychologie
x041,"Religion, Theologie"
x051,"Erziehung, Bildung, Unterricht"
x061,"Soziologie, Gesellschaft"
x062,Statistik
x071,"Politik, öffentliche Verwaltung"
x081,"Wirtschaft, Arbeit"
x082,Tourismusindustrie
x091,Recht
x111,"Natur, Naturwissenschaften allgemein"
x121,Mathematik
x131,"Informatik, Kybernetik"
x132,Wirtschaftsinformatik
x141,Physik
x142,Astronomie
x151,Chemie
x152,Pharmazie
x153,"Chemische Technik, versch. Technologien"
x161,"Geowissenschaften, Bergbau"
x171,Biologie
x181,Humanmedizin
x182,Veterinärmedizin
x183,Biomedizintechnik
x191,"Technik, Grundlagen"
x192,Technikgeschichte
x201,Maschinenbau; Maschinenwesen
x202,Mikrotechnik
x203,Landtechnik
x204,"Verkehrstechnik, Verkehr, Transport"
x211,"Elektrotechnik inkl. Elektronik, Kommunikationstechnik, Energietechnik"
x212,Nachrichtentechnik
x213,Energietechnik
x221,Bergbautechnik und Hüttenwesen
x222,Bauingenieurwesen
x223,Wasserwesen
x224,Umwelttechnik
x231,Landwirtschaft
x232,Forstwirtschaft
x233,Hauswirtschaft
x234,Hotel- und Gaststättenwirtschaft
x235,Ernährungswissenschaften
x236,Lebensmitteltechnik
x261,Umweltschutz
x262,Raumordnung
x263,Landschaftsgestaltung
x281,Architektur vor 1945
x282,Architektur nach 1945
x283,Bildende Kunst/Kunstgeschichte vor 1945
x284,Bildende Kunst/Kunstgeschichte ab 1945
x285,Bildende Kunst: Photographie
x286,Bildende Kunst: Design
x287,Bildende Kunst: Gebrauchsgrafik
x288,Bildende Kunst: Künstlerbücher
x291,Musik
x292,"Theater, Tanz, Film"
x301,"Sport, Spiele"
x311,Allgemeine und vergleichende Sprach- und Literaturwissenschaften
x312,Vergleichende Sprach- und Literaturwissenschaften
x321,Englische Sprach- und Literaturwissenschaften
x331,Deutsche Sprach- und Literaturwissenschaften
x341,Romanische Sprach- und Literaturwissenschaften
x351,Klassische Sprach- und Literaturwissenschaften
x361,Slawische und baltische Sprach- und Literaturwissenschaften
x371,Sprach- und Literaturwissenschaften sonstige Sprachen
x381,Belletristik außer deutsch
x382,Belletristik deutsch
x383,Kinder- und Jugendliteratur
x391,"Archäologie, Vorgeschichte, Geschichte"
x392,Klassische Archäologie
x393,Sozialgeschichte
x394,Wirtschaftsgeschichte
x411,"Geographie, Heimatkunde, Länderkunde, Reisen, Atlanten"
x412,"Volks- und Völkerkunde, Kultur"
